"","corpusngram1","n"
"1678","wood",168
"1679","advice",167
"1680","appeared",167
"1681","authorities",167
"1682","cities",167
"1683","compared",167
"1684","craft",167
"1685","democratic",167
"1686","faces",167
"1687","followers",167
"1688","gotta",167
"1689","highly",167
"1690","magic",167
"1691","offering",167
"1692","promise",167
"1693","pull",167
"1694","scheduled",167
"1695","attempt",166
"1696","christ",166
"1697","hits",166
"1698","laugh",166
"1699","meaning",166
"1700","steve",166
"1701","western",166
"1702","closer",165
"1703","direction",165
"1704","downtown",165
"1705","enter",165
"1706","fill",165
"1707","google",165
"1708","gov",165
"1709","grade",165
"1710","images",165
"1711","martin",165
"1712","pressure",165
"1713","quiet",165
"1714","rates",165
"1715","unfortunately",165
"1716","described",164
"1717","ends",164
"1718","governor",164
"1719","joy",164
"1720","larger",164
"1721","majority",164
"1722","milk",164
"1723","pair",164
"1724","sharing",164
"1725","apart",163
"1726","baltimore",163
"1727","civil",163
"1728","dreams",163
"1729","honor",163
"1730","knowing",163
"1731","nobody",163
"1732","stick",163
"1733","uk",163
"1734","wild",163
"1735","austin",162
"1736","countries",162
"1737","edge",162
"1738","exciting",162
"1739","famous",162
"1740","funds",162
"1741","leadership",162
"1742","loving",162
"1743","pulled",162
"1744","remove",162
"1745","stars",162
"1746","van",162
"1747","whos",162
"1748","begins",161
"1749","caused",161
"1750","managed",161
"1751","republicans",161
"1752","trial",161
"1753","wind",161
"1754","beers",160
"1755","clothes",160
"1756","fully",160
"1757","hopes",160
"1758","memory",160
"1759","singing",160
"1760","2006",159
"1761","accept",159
"1762","advantage",159
"1763","greater",159
"1764","independent",159
"1765","noticed",159
"1766","paint",159
"1767","path",159
"1768","theme",159
"1769","aware",158
"1770","camera",158
"1771","competition",158
"1772","concerns",158
"1773","european",158
"1774","explain",158
"1775","foundation",158
"1776","fruit",158
"1777","handle",158
"1778","inspired",158
"1779","pink",158
"1780","purchase",158
"1781","shoes",158
"1782","agent",157
"1783","celebrate",157
"1784","concert",157
"1785","farm",157
"1786","herself",157
"1787","signs",157
"1788","crisis",156
"1789","degree",156
"1790","emergency",156
"1791","gotten",156
"1792","host",156
"1793","jump",156
"1794","losing",156
"1795","pan",156
"1796","plants",156
"1797","rise",156
"1798","talked",156
"1799","appear",155
"1800","commercial",155
"1801","junior",155
"1802","kick",155
"1803","laws",155
"1804","location",155
"1805","measure",155
"1806","primary",155
"1807","source",155
"1808","army",154
"1809","birth",154
"1810","england",154
"1811","enjoying",154
"1812","jim",154
"1813","owners",154
"1814","richard",154
"1815","self",154
"1816","soul",154
"1817","unique",154
"1818","activities",153
"1819","beauty",153
"1820","christie",153
"1821","congrats",153
"1822","covered",153
"1823","episode",153
"1824","exercise",153
"1825","fucking",153
"1826","illinois",153
"1827","opinion",153
"1828","partner",153
"1829","rice",153
"1830","santa",153
"1831","serving",153
"1832","shots",153
"1833","talent",153
"1834","chinese",152
"1835","cooking",152
"1836","decisions",152
"1837","fashion",152
"1838","fighting",152
"1839","headed",152
"1840","heading",152
"1841","investment",152
"1842","labor",152
"1843","mountain",152
"1844","nations",152
"1845","shut",152
"1846","strength",152
"1847","trees",152
"1848","youth",152
"1849","1st",151
"1850","bottle",151
"1851","draw",151
"1852","eggs",151
"1853","filed",151
"1854","foot",151
"1855","guilty",151
"1856","heavy",151
"1857","increased",151
"1858","mission",151
"1859","produce",151
"1860","progress",151
"1861","salad",151
"1862","score",151
"1863","slowly",151
"1864","status",151
"1865","tiny",151
"1866","younger",151
"1867","2000",150
"1868","carry",150
"1869","choices",150
"1870","extremely",150
"1871","greatest",150
"1872","happening",150
"1873","meat",150
"1874","michigan",150
"1875","moments",150
"1876","otherwise",150
"1877","parties",150
"1878","sea",150
"1879","seeking",150
"1880","todays",150
"1881","35",149
"1882","alive",149
"1883","bread",149
"1884","capital",149
"1885","copy",149
"1886","decades",149
"1887","doctors",149
"1888","familiar",149
"1889","gun",149
"1890","improve",149
"1891","injury",149
"1892","mouth",149
"1893","murder",149
"1894","oven",149
"1895","screen",149
"1896","seattle",149
"1897","somehow",149
"1898","stood",149
"1899","streets",149
"1900","target",149
"1901","treat",149
"1902","uses",149
"1903","violence",149
"1904","colors",148
"1905","davis",148
"1906","discovered",148
"1907","flight",148
"1908","meal",148
"1909","omg",148
"1910","option",148
"1911","till",148
"1912","vehicle",148
"1913","29",147
"1914","candidates",147
"1915","obvious",147
"1916","provided",147
"1917","restaurants",147
"1918","shape",147
"1919","significant",147
"1920","speech",147
"1921","background",146
"1922","bills",146
"1923","concept",146
"1924","egg",146
"1925","hills",146
"1926","lie",146
"1927","purpose",146
"1928","selling",146
"1929","setting",146
"1930","shown",146
"1931","skills",146
"1932","strategy",146
"1933","boston",145
"1934","brothers",145
"1935","considering",145
"1936","excellent",145
"1937","hang",145
"1938","literally",145
"1939","mexico",145
"1940","millions",145
"1941","paying",145
"1942","smaller",145
"1943","somebody",145
"1944","variety",145
"1945","writers",145
"1946","actual",144
"1947","hello",144
"1948","levels",144
"1949","magazine",144
"1950","shared",144
"1951","ages",143
"1952","airport",143
"1953","arms",143
"1954","authority",143
"1955","comfortable",143
"1956","disease",143
"1957","female",143
"1958","generally",143
"1959","kansas",143
"1960","showing",143
"1961","smart",143
"1962","standard",143
"1963","tip",143
"1964","web",143
"1965","27",142
"1966","dangerous",142
"1967","dc",142
"1968","hasnt",142
"1969","holy",142
"1970","housing",142
"1971","noted",142
"1972","pounds",142
"1973","request",142
"1974","weird",142
"1975","basically",141
"1976","challenges",141
"1977","claims",141
"1978","delicious",141
"1979","flowers",141
"1980","highest",141
"1981","jan",141
"1982","mad",141
"1983","master",141
"1984","resources",141
"1985","strange",141
"1986","surgery",141
"1987","couldn’",140
"1988","defensive",140
"1989","feelings",140
"1990","fellow",140
"1991","plastic",140
"1992","plate",140
"1993","suddenly",140
"1994","taught",140
"1995","therefore",140
"1996","200",139
"1997","2005",139
"1998","admit",139
"1999","agreement",139
"2000","apartment",139
"2001","app",139
"2002","expensive",139
"2003","grace",139
"2004","honest",139
"2005","hundreds",139
"2006","jackson",139
"2007","parks",139
"2008","perform",139
"2009","protection",139
"2010","reduce",139
"2011","thus",139
"2012","tim",139
"2013","wake",139
"2014","000",138
"2015","45",138
"2016","bob",138
"2017","code",138
"2018","flavor",138
"2019","mass",138
"2020","produced",138
"2021","related",138
"2022","remaining",138
"2023","sites",138
"2024","soft",138
"2025","teach",138
"2026","teaching",138
"2027","visiting",138
"2028","animal",137
"2029","animals",137
"2030","awards",137
"2031","bringing",137
"2032","co",137
"2033","direct",137
"2034","focused",137
"2035","ordered",137
"2036","prime",137
"2037","separate",137
"2038","adult",136
"2039","afraid",136
"2040","basic",136
"2041","fantastic",136
"2042","legislation",136
"2043","proposal",136
"2044","proposed",136
"2045","revenue",136
"2046","stress",136
"2047","theater",136
"2048","1000",135
"2049","debate",135
"2050","emotional",135
"2051","illegal",135
"2052","individuals",135
"2053","machine",135
"2054","material",135
"2055","matt",135
"2056","moon",135
"2057","spoke",135
"2058","ticket",135
"2059","vacation",135
"2060","village",135
"2061","artists",134
"2062","campus",134
"2063","changing",134
"2064","driver",134
"2065","environmental",134
"2066","foreign",134
"2067","ingredients",134
"2068","investors",134
"2069","pizza",134
"2070","plain",134
"2071","professor",134
"2072","random",134
"2073","activity",133
"2074","assistant",133
"2075","baking",133
"2076","buildings",133
"2077","cast",133
"2078","conditions",133
"2079","customer",133
"2080","earned",133
"2081","frank",133
"2082","multiple",133
"2083","transportation",133
"2084","31",132
"2085","attend",132
"2086","europe",132
"2087","feb",132
"2088","journey",132
"2089","keeps",132
"2090","offense",132
"2091","sky",132
"2092","ultimately",132
"2093","update",132
"2094","walls",132
"2095","africa",131
"2096","allows",131
"2097","bunch",131
"2098","contest",131
"2099","criminal",131
"2100","issued",131
"2101","legs",131
"2102","papers",131
"2103","politics",131
"2104","systems",131
"2105","trail",131
"2106","beef",130
"2107","blogs",130
"2108","committed",130
"2109","drama",130
"2110","newark",130
"2111","passion",130
"2112","religious",130
"2113","rep",130
"2114","tweets",130
"2115","victims",130
"2116","appeal",129
"2117","bike",129
"2118","drove",129
"2119","incident",129
"2120","leads",129
"2121","lee",129
"2122","massive",129
"2123","passing",129
"2124","population",129
"2125","silver",129
"2126","suit",129
"2127","threw",129
"2128","500",128
"2129","cell",128
"2130","chose",128
"2131","companys",128
"2132","drugs",128
"2133","everyday",128
"2134","mary",128
"2135","meanwhile",128
"2136","sept",128
"2137","suggested",128
"2138","vice",128
"2139","wondering",128
"2140","yellow",128
"2141","angry",127
"2142","approved",127
"2143","candidate",127
"2144","citys",127
"2145","completed",127
"2146","confidence",127
"2147","connection",127
"2148","conservative",127
"2149","display",127
"2150","empty",127
"2151","funding",127
"2152","horse",127
"2153","inc",127
"2154","jazz",127
"2155","jr",127
"2156","memories",127
"2157","rare",127
"2158","stands",127
"2159","theyve",127
"2160","vision",127
"2161","voted",127
"2162","actions",126
"2163","apply",126
"2164","associated",126
"2165","brian",126
"2166","citizens",126
"2167","falling",126
"2168","grant",126
"2169","heads",126
"2170","leg",126
"2171","missouri",126
"2172","provides",126
"2173","truck",126
"2174","appearance",125
"2175","cat",125
"2176","championship",125
"2177","clients",125
"2178","concern",125
"2179","loud",125
"2180","mental",125
"2181","native",125
"2182","responsible",125
"2183","solid",125
"2184","ad",124
"2185","allowing",124
"2186","colorado",124
"2187","decade",124
"2188","developed",124
"2189","discussion",124
"2190","experts",124
"2191","flying",124
"2192","giant",124
"2193","info",124
"2194","injuries",124
"2195","male",124
"2196","pace",124
"2197","pool",124
"2198","route",124
"2199","sets",124
"2200","terrible",124
"2201","william",124
"2202","yard",124
"2203","“we",124
"2204","80",123
"2205","accepted",123
"2206","border",123
"2207","consumer",123
"2208","degrees",123
"2209","diego",123
"2210","dude",123
"2211","effects",123
"2212","evil",123
"2213","maryland",123
"2214","operations",123
"2215","ring",123
"2216","tears",123
"2217","tend",123
"2218","windows",123
"2219","�",123
"2220","active",122
"2221","centers",122
"2222","corporate",122
"2223","determined",122
"2224","drivers",122
"2225","entirely",122
"2226","experienced",122
"2227","matters",122
"2228","ms",122
"2229","opportunities",122
"2230","regarding",122
"2231","seats",122
"2232","smoke",122
"2233","waste",122
"2234","adults",121
"2235","believed",121
"2236","cutting",121
"2237","damage",121
"2238","demand",121
"2239","estate",121
"2240","nba",121
"2241","pot",121
"2242","stayed",121
"2243","types",121
"2244","visitors",121
"2245","browns",120
"2246","denver",120
"2247","effective",120
"2248","facing",120
"2249","hop",120
"2250","houses",120
"2251","kevin",120
"2252","letting",120
"2253","prize",120
"2254","prosecutors",120
"2255","regional",120
"2256","shoot",120
"2257","stone",120
"2258","advance",119
"2259","bitch",119
"2260","chapter",119
"2261","correct",119
"2262","entertainment",119
"2263","fairly",119
"2264","fly",119
"2265","forces",119
"2266","institute",119
"2267","killing",119
"2268","located",119
"2269","mail",119
"2270","mobile",119
"2271","package",119
"2272","previously",119
"2273","tips",119
"2274","worried",119
"2275","ceo",118
"2276","easter",118
"2277","jeff",118
"2278","juice",118
"2279","miller",118
"2280","mixture",118
"2281","parent",118
"2282","seek",118
"2283","sexual",118
"2284","storm",118
"2285","tight",118
"2286","we’ve",118
"2287","400",117
"2288","basis",117
"2289","blues",117
"2290","breaking",117
"2291","desire",117
"2292","drawing",117
"2293","era",117
"2294","everywhere",117
"2295","fifth",117
"2296","finds",117
"2297","golf",117
"2298","mixed",117
"2299","pack",117
"2300","prevent",117
"2301","pushed",117
"2302","queen",117
"2303","resident",117
"2304","sing",117
"2305","theatre",117
"2306","tied",117
"2307","whenever",117
"2308","zone",117
"2309","300",116
"2310","accused",116
"2311","advertising",116
"2312","arm",116
"2313","barely",116
"2314","bible",116
"2315","breath",116
"2316","chair",116
"2317","develop",116
"2318","forgot",116
"2319","harder",116
"2320","pepper",116
"2321","perfectly",116
"2322","upset",116
